Clip,SourceFile,Length,FrameRate,Frames,Looping,HasRootCurves,RootXZNet,RootXZPath,RootYNet,TargetLength,SpeedMultiplier,Flag,EventCount,Events
Attack1,K_Attack_1.fbx,2.033,30,61,no,yes,1.397,1.919,0,0.6,3.389,RAISE TARGET,5,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath) | 0.153s SwitchSocket(To_Hand_R_Socket-Blade, To_Hand_L_Socket-Sheath) | 0.997s SwitchSocket(To_add_weapon_r-Blade, To_add_weapon_r-Sheath) | 1.131s SwitchSocket(To_Katana_Close-Blade, To_add_weapon_r-Sheath) | 1.253s SwitchSocket(To_Hand_L_Socket-Sheath)"
Attack2,K_Attack_2.fbx,1.833,30,55,no,yes,0.961,1.528,0.333,0.62,2.957,RAISE TARGET,4,"0s SwitchSocket(To_Hand_R_Socket-Blade, To_Hand_L_Socket-Sheath) | 0.871s SwitchSocket(To_add_weapon_r-Blade, To_add_weapon_r-Sheath) | 1.123s SwitchSocket(To_Katana_Close-Blade, To_add_weapon_r-Sheath) | 1.23s SwitchSocket(To_Hand_L_Socket-Sheath)"
Attack3,K_Attack_3.fbx,2.267,30,68,no,yes,2.217,2.449,0.212,0.9,2.519,RAISE TARGET,4,"0s SwitchSocket(To_Hand_R_Socket-Blade, To_Hand_L_Socket-Sheath) | 0.837s SwitchSocket(To_add_weapon_r-Blade) | 1.799s SwitchSocket(To_Katana_Close-Blade, To_add_weapon_r-Sheath) | 2.054s SwitchSocket(To_add_weapon_r-Sheath)"
CrouchIdle,K_Crouch_Idle.fbx,2.233,30,67,yes,yes,0,0.015,0,,,,1,"0s SwitchSocket(To_Hand_L_Socket-root, To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
CrouchJog,K_Crouch_Jog.fbx,0.867,30,26,yes,yes,2.497,2.498,0,,,,1,"0s SwitchSocket(To_Hand_L_Socket-root, To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
CrouchWalk,K_Crouch_Walk.fbx,1.133,30,34,yes,yes,1.841,1.842,0,,,,1,"0s SwitchSocket(To_Hand_L_Socket-root, To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Die,K_Die.fbx,2.833,30,85,no,yes,0.768,0.935,-0.862,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Evade,K_Evade.fbx,1.467,30,44,no,yes,0,0.83,0,0.6,2.444,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Hit1,K_Hit_R.fbx,1.467,30,44,no,yes,0,0.629,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
Hit2,K_Hit_L.fbx,1.467,30,44,no,yes,0,0.652,0,,,,1,"0s SwitchSocket(To_Katana_Close-Blade, To_Hand_L_Socket-Sheath)"
